Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Year,Month,Day,DayOfWeek,MA_10,MA_50,MA_200,Daily_Return,Volatility,RSI
1986-04-28 00:00:00-04:00,0.11026416086437253,0.11197357613490333,0.10855474559384173,0.10940945893526077,145532800,0.0,0.0,1986,4,28,0,,,,,,
1986-04-29 00:00:00-04:00,0.10940948933729566,0.1102641915039068,0.09188721617386274,0.10684537142515182,132697600,0.0,0.0,1986,4,29,1,,,,-0.023435702315520612,,
1986-04-30 00:00:00-04:00,0.10684536984841571,0.10812742878556805,0.10342653840780258,0.10342653840780258,137782400,0.0,0.0,1986,4,30,2,,,,-0.031997951542002245,,
1986-05-01 00:00:00-04:00,0.10342653840780258,0.10342653840780258,0.10171712268749603,0.10342653840780258,257936000,0.0,0.0,1986,5,1,3,,,,0.0,,
1986-05-02 00:00:00-04:00,0.10342650012105441,0.1059906170461662,0.10299914349610041,0.10428120195865631,93587200,0.0,0.0,1986,5,2,4,,,,0.008263484053617542,,
1986-05-05 00:00:00-04:00,0.10428122839309714,0.11111889047642827,0.10428122839309714,0.10983683168888092,149340800,0.0,0.0,1986,5,5,0,,,,0.05327546696697283,,
1986-05-06 00:00:00-04:00,0.11026415589150601,0.11368376231523984,0.11026415589150601,0.11154622584581375,218534400,0.0,0.0,1986,5,6,1,,,,0.01556303227841438,,
1986-05-07 00:00:00-04:00,0.11154622959414064,0.11240093151342655,0.10684534050730024,0.10770004242658615,198800000,0.0,0.0,1986,5,7,2,,,,-0.03448062352682413,,
1986-05-08 00:00:00-04:00,0.10770010292397394,0.11325570846310658,0.10770010292397394,0.11282835155725479,233363200,0.0,0.0,1986,5,8,3,,,,0.04761659341187685,,
1986-05-09 00:00:00-04:00,0.11282828000079084,0.11496581638710457,0.11197356673115223,0.11411110311746597,222499200,0.0,0.0,1986,5,9,4,0.10834116637706756,,,0.011369053456038891,,
1986-05-12 00:00:00-04:00,0.11411111756013817,0.1252223229979112,0.11368377228353749,0.1243676096200943,400422400,0.0,0.0,1986,5,12,0,0.10983698144555092,,,0.08988175753651495,,
1986-05-13 00:00:00-04:00,0.12436766231557819,0.12479501918556087,0.12052147331035942,0.12308560311794281,471766400,0.0,0.0,1986,5,13,1,0.11146100461483002,,,-0.010308202481881246,,
1986-05-14 00:00:00-04:00,0.12308556209620142,0.12778721648705804,0.12308556209620142,0.126077800989151,482988800,0.0,0.0,1986,5,14,2,0.11372613087296486,,,0.024309893240243685,,
1986-05-15 00:00:00-04:00,0.12607784300814054,0.1265051998781232,0.12180354392030741,0.12308560311794281,222544000,0.0,0.0,1986,5,15,3,0.11569203734397888,,,-0.023732947812642013,,66.32669851989064
1986-05-16 00:00:00-04:00,0.12308560311794281,0.12394030544559553,0.12009412785268936,0.12308560311794281,319244800,0.0,0.0,1986,5,16,4,0.11757247745990754,,,0.0,,66.32669851989064
1986-05-19 00:00:00-04:00,0.12308557354905067,0.12479498920601519,0.12137615789208617,0.12180351465940475,209507200,0.0,0.0,1986,5,19,0,0.11876914575695992,,,-0.01041623411723902,,68.42101303239915
1986-05-20 00:00:00-04:00,0.12180349746732343,0.12180349746732343,0.11710260792726043,0.12094878405332565,245795200,0.0,0.0,1986,5,20,1,0.11970940157771111,,,-0.0070172901699031565,,73.03336562724158
1986-05-21 00:00:00-04:00,0.12094878382290156,0.12735986480339878,0.11966672511665566,0.12650515139102936,346729600,0.0,0.0,1986,5,21,2,0.12158991247415543,,,0.045939836280238566,,76.47053294016689
